rt,x,x_denoise,x_detrend
20.9719953325554,2.9712,2.17430572467447,-2.51847275993604
20.9463243873979,2.4972,2.41344328627461,-2.99337899955358
20.9206534422404,2.5415,2.65492380091163,-2.94998523917111
20.8949824970829,2.8377,2.89610889659004,-2.65469147878865
20.8693115519253,1.8172,3.13422376356078,-3.67609771840618
20.8436406067678,3.4318,3.36639916956866,-2.06240395802372
20.8179696616103,3.0603,3.58971690737736,-2.43481019764125
20.7922987164527,3.8176,3.80125794834282,-1.67841643725879
20.7666277712952,3.7732,3.9981525101746,-1.72372267687632
20.7409568261377,3.0751,4.17763119512036,-2.42272891649386
20.7152858809802,3.5801,4.33707631775943,-1.91863515611139
20.6896149358226,3.387,4.47407252024636,-2.11264139572892
20.6639439906651,4.3225,4.58645576775862,-1.17804763534646
20.6382730455076,3.8176,4.67235982832196,-1.68385387496399
20.6126021003501,6.0215,4.73025936904387,0.519139885418471
20.5869311551925,6.6929,4.75900884470202,1.18963364580094
20.561260210035,4.1146,4.7578764139219,-1.3895725938166
20.5355892648775,4.3077,4.72657219185583,-1.19737883343413
20.50991831972,4.2038,4.66527023508661,-1.30218507305167
20.4842473745624,5.5294,4.57462375291338,0.0225086873307987
20.4585764294049,3.6988,4.45577314750308,-1.80899755228674
20.4329054842474,5.3353,4.31034660168406,-0.173403791904271
20.4072345390898,3.2682,4.14045305534497,-2.2414100315218
20.3815635939323,3.7289,3.94866753729113,-1.78161627113934
20.3558926487748,4.0851,3.73800894674398,-1.42632251075687
20.3302217036173,3.5653,3.51191050515958,-1.94702875037441
20.3045507584597,3.5505,3.27418322241751,-1.96273498999194
20.2788798133022,2.4381,3.02897283948338,-3.07604122960948
20.2532088681447,2.7785,2.78071082026665,-2.73654746922701
20.2275379229872,3.7136,2.53406006661435,-1.80235370884455
20.2018669778296,4.0255,2.2938561204153,-1.49135994846208
20.1761960326721,1.2999,2.06504469406162,-4.21786618807962
20.1505250875146,3.2387,1.85261643369539,-2.27997242769715
20.1248541423571,1.1225,1.66153986768794,-4.39707866731469
20.0991831971995,2.7633,1.49669352487849,-2.75718490693222
20.073512252042,1.4477,1.36279822275031,-4.07369114654975
20.0478413068845,1.2555,1.2643505247673,-4.26679738616729
20.0221703617269,1.5068,1.20555834865744,-4.01640362578482
19.9964994165694,0.95987,1.19027967393668,-4.56423986540236
19.9708284714119,2.6155,1.22196524813455,-2.90951610501989
19.9451575262544,0.62084,1.30360612799847,-4.90508234463743
19.9194865810969,1.2555,1.43768681565809,-4.27132858425496
19.8938156359393,1.2999,1.6261446617887,-4.2278348238725
19.8681446907818,0.7534,1.87033610988201,-4.77524106349003
19.8424737456243,2.2902,2.17101024963287,-3.23934730310757
19.8168028004667,2.0833,2.52829003512269,-3.4471535427251
19.7911318553092,2.0685,2.94166140694951,-3.46285978234263
19.7654609101517,4.4117,3.40997043879068,-1.12056602196017
19.7397899649942,2.3494,3.93142851015796,-3.1837722615777
19.7141190198366,4.5304,4.50362539035222,-1.00367850119524
19.6884480746791,4.8432,5.12355000580562,-0.691784740812772
19.6627771295216,6.5732,5.78761855595984,1.03730901956969
19.6371061843641,4.9176,6.49170954327172,-0.619197220047842
19.6114352392065,6.6781,7.23120519238702,1.14039654033462
19.585764294049,7.2474,8.00103865330179,1.70879030071709
19.5600933488915,8.5812,8.79574631453775,3.04168406109955
19.534422403734,9.5291,9.60952449584967,3.98867782148202
19.5087514585764,10.8099,10.4362897463661,5.26857158186449
19.4830805134189,10.8399,11.2697419436851,5.29766534224695
19.4574095682614,12.5942,12.1034293723924,7.05105910262942
19.4317386231039,12.5484,12.930814956578,7.00435286301188
19.4060676779463,11.8375,13.7453428297813,6.29254662339435
19.3803967327888,15.8806,14.5405044467633,10.3347403837768
19.3547257876313,16.8896,15.3099034737352,11.3428341441593
19.3290548424737,16.4299,16.0473187361266,10.8822279045417
19.3033838973162,17.7474,16.7467645544684,12.1988216649242
19.2777129521587,16.2311,17.4025478581614,10.6816154253067
19.2520420070012,18.3916,18.0093215323864,12.8412091856891
19.2263710618436,18.054,18.5621335236988,12.5027029460716
19.2007001166861,20.4706,19.0564713034156,14.9183967064541
19.1750291715286,19.8226,19.4883013632439,14.2694904668365
19.1493582263711,20.4549,19.8541034932292,14.900884227219
19.1236872812135,20.6561,20.1508996666095,15.1011779876015
19.098016336056,20.5631,20.3762774282413,15.0072717479839
19.0723453908985,19.2227,20.5284077517104,13.6659655083664
19.046674445741,20.2541,20.6060573940165,14.6964592687489
19.0210035005834,21.5526,20.6085958349392,15.9940530291313
18.9953325554259,22.4037,20.5359969401478,16.8442467895138
18.9696616102684,20.8259,20.3888355322895,15.2655405498963
18.9439906651108,19.9151,20.1682790923629,14.3538343102787
18.9183197199533,19.0687,19.8760748445174,13.5065280706612
18.8926487747958,18.4073,19.5145325010813,12.8442218310437
18.8669778296383,20.5479,19.0865029613511,14.9839155914261
18.8413068844807,18.7454,18.5953532678792,13.1805093518086
18.8156359393232,19.269,18.0449381282444,13.703203112191
18.7899649941657,17.8089,17.4395683092598,12.2421968725735
18.7642940490082,17.9005,16.7839762050805,12.332890632956
18.7386231038506,15.8196,16.08327887159,10.2510843933384
18.7129521586931,14.1425,15.3429388077082,8.57307815372091
18.6872812135356,14.3709,14.5687227508466,8.80057191410338
18.6616102683781,13.2923,13.7666587395915,7.72106567448584
18.6359393232205,12.6853,12.9429916827576,7.11315943486831
18.610268378063,11.0211,12.1041376611035,5.44805319525078
18.5845974329055,10.3564,11.2566371770201,4.78244695563324
18.558926487748,8.852,10.4071075590876,3.27714071601571
18.5332555425904,7.7267,9.56219472310053,2.15093447639817
18.5075845974329,8.5812,8.72852448941222,3.00452823678064
18.4819136522754,6.7081,7.91265365849784,1.1305219971631
18.4562427071178,7.2474,7.12102105259652,1.66891575754557
18.4305717619603,5.3053,6.35989874108358,-0.274090482071967
18.4049008168028,5.0521,5.6353436806169,-0.528196721689501
18.3792298716453,3.5801,4.9531500176916,-2.00110296130704
18.3535589264878,4.0851,4.31880232047195,-1.49700920092457
18.3278879813302,2.2607,3.73743002795303,-3.32231544054211
18.3022170361727,3.6988,3.2137634268175,-1.88512168015964
18.2765460910152,2.6598,2.752091488874,-2.92502791977717
18.2508751458576,3.5505,2.35622192369062,-2.03523415939471
18.2252042007001,3.4466,2.02944382091831,-2.14004039901224
